item_key,unit,category,item,co2,source,match_key,match_tokens
apple raw,0.027,food,"apple, raw",0.43,Existing Dataset,apple raw,"('apple', 'raw')"
apple raw,kg,food,"Apple, raw",0.43,combined_food_emissions,apple raw,"('apple', 'raw')"
apple yogurt dessert baby food strained,0.05,food,"apple yogurt dessert, baby food, strained",3.15,Existing Dataset,apple yogurt dessert baby food strained,"('apple', 'yogurt', 'dessert', 'baby', 'food', 'strained')"
apple yogurt dessert baby food strained,kg,food,"Apple yogurt dessert, baby food, strained",3.15,combined_food_emissions,apple yogurt dessert baby food strained,"('apple', 'yogurt', 'dessert', 'baby', 'food', 'strained')"
apples and chicken baby food strained,0.04,food,"apples and chicken, baby food, strained",9.87,Existing Dataset,apple and chicken baby food strained,"('apple', 'and', 'chicken', 'baby', 'food', 'strained')"
apples and chicken baby food strained,kg,food,"Apples and chicken, baby food, strained",9.87,combined_food_emissions,apple and chicken baby food strained,"('apple', 'and', 'chicken', 'baby', 'food', 'strained')"
apples and pears baby food junior,0.057,food,"apples and pears, baby food, junior",0.43,Existing Dataset,apple and pear baby food junior,"('apple', 'and', 'pear', 'baby', 'food', 'junior')"
apples and pears baby food junior,kg,food,"Apples and pears, baby food, junior",0.43,combined_food_emissions,apple and pear baby food junior,"('apple', 'and', 'pear', 'baby', 'food', 'junior')"
apples and pears baby food ns as to strained or junior,0.054,food,"apples and pears, baby food, ns as to strained or junior",0.43,Existing Dataset,apple and pear baby food ns as to strained or junior,"('apple', 'and', 'pear', 'baby', 'food', 'ns', 'as', 'to', 'strained', 'or', 'junior')"
apples and pears baby food ns as to strained or junior,kg,food,"Apples and pears, baby food, NS as to strained or junior",0.43,combined_food_emissions,apple and pear baby food ns as to strained or junior,"('apple', 'and', 'pear', 'baby', 'food', 'ns', 'as', 'to', 'strained', 'or', 'junior')"
apples and pears baby food strained,0.052,food,"apples and pears, baby food, strained",0.43,Existing Dataset,apple and pear baby food strained,"('apple', 'and', 'pear', 'baby', 'food', 'strained')"
apples and pears baby food strained,kg,food,"Apples and pears, baby food, strained",0.43,combined_food_emissions,apple and pear baby food strained,"('apple', 'and', 'pear', 'baby', 'food', 'strained')"
apples and sweet potatoes baby food strained,0.09,food,"apples and sweet potatoes, baby food, strained",0.46,Existing Dataset,apple and sweet potato baby food strained,"('apple', 'and', 'sweet', 'potato', 'baby', 'food', 'strained')"
apples and sweet potatoes baby food strained,kg,food,"Apples and sweet potatoes, baby food, strained",0.46,combined_food_emissions,apple and sweet potato baby food strained,"('apple', 'and', 'sweet', 'potato', 'baby', 'food', 'strained')"
apples baby food toddler,0.031,food,"apples, baby food, toddler",0.43,Existing Dataset,apple baby food toddler,"('apple', 'baby', 'food', 'toddler')"
apples baby food toddler,kg,food,"Apples, baby food, toddler",0.43,combined_food_emissions,apple baby food toddler,"('apple', 'baby', 'food', 'toddler')"
apples with ham baby food strained,0.04,food,"apples with ham, baby food, strained",0.43,Existing Dataset,apple with ham baby food strained,"('apple', 'with', 'ham', 'baby', 'food', 'strained')"
apples with ham baby food strained,kg,food,"Apples with ham, baby food, strained",0.43,combined_food_emissions,apple with ham baby food strained,"('apple', 'with', 'ham', 'baby', 'food', 'strained')"
applesauce and apricots baby food junior,0.044,food,"applesauce and apricots, baby food, junior",0.43,Existing Dataset,applesauce and apricot baby food junior,"('applesauce', 'and', 'apricot', 'baby', 'food', 'junior')"
applesauce and apricots baby food junior,kg,food,"Applesauce and apricots, baby food, junior",0.43,combined_food_emissions,applesauce and apricot baby food junior,"('applesauce', 'and', 'apricot', 'baby', 'food', 'junior')"
applesauce and apricots baby food ns as to strained or junior,0.042,food,"applesauce and apricots, baby food, ns as to strained or junior",0.43,Existing Dataset,applesauce and apricot baby food ns as to strained or junior,"('applesauce', 'and', 'apricot', 'baby', 'food', 'ns', 'as', 'to', 'strained', 'or', 'junior')"
applesauce and apricots baby food ns as to strained or junior,kg,food,"Applesauce and apricots, baby food, NS as to strained or junior",0.43,combined_food_emissions,applesauce and apricot baby food ns as to strained or junior,"('applesauce', 'and', 'apricot', 'baby', 'food', 'ns', 'as', 'to', 'strained', 'or', 'junior')"
applesauce and apricots baby food strained,0.041,food,"applesauce and apricots, baby food, strained",0.43,Existing Dataset,applesauce and apricot baby food strained,"('applesauce', 'and', 'apricot', 'baby', 'food', 'strained')"
applesauce and apricots baby food strained,kg,food,"Applesauce and apricots, baby food, strained",0.43,combined_food_emissions,applesauce and apricot baby food strained,"('applesauce', 'and', 'apricot', 'baby', 'food', 'strained')"
applesauce baby food junior,0.035,food,"applesauce, baby food, junior",0.43,Existing Dataset,applesauce baby food junior,"('applesauce', 'baby', 'food', 'junior')"
applesauce baby food junior,kg,food,"Applesauce, baby food, junior",0.43,combined_food_emissions,applesauce baby food junior,"('applesauce', 'baby', 'food', 'junior')"
applesauce baby food ns as to strained or junior,0.037,food,"applesauce, baby food, ns as to strained or junior",0.43,Existing Dataset,applesauce baby food ns as to strained or junior,"('applesauce', 'baby', 'food', 'ns', 'as', 'to', 'strained', 'or', 'junior')"
applesauce baby food ns as to strained or junior,kg,food,"Applesauce, baby food, NS as to strained or junior",0.43,combined_food_emissions,applesauce baby food ns as to strained or junior,"('applesauce', 'baby', 'food', 'ns', 'as', 'to', 'strained', 'or', 'junior')"
applesauce baby food strained,0.038,food,"applesauce, baby food, strained",0.43,Existing Dataset,applesauce baby food strained,"('applesauce', 'baby', 'food', 'strained')"
applesauce baby food strained,kg,food,"Applesauce, baby food, strained",0.43,combined_food_emissions,applesauce baby food strained,"('applesauce', 'baby', 'food', 'strained')"
applesauce flavored,0.032,food,"applesauce, flavored",0.43,Existing Dataset,applesauce flavored,"('applesauce', 'flavored')"
applesauce flavored,kg,food,"Applesauce, flavored",0.43,combined_food_emissions,applesauce flavored,"('applesauce', 'flavored')"
applesauce regular,0.032,food,"applesauce, regular",0.43,Existing Dataset,applesauce regular,"('applesauce', 'regular')"
applesauce regular,kg,food,"Applesauce, regular",0.43,combined_food_emissions,applesauce regular,"('applesauce', 'regular')"
applesauce unsweetened,0.027,food,"applesauce, unsweetened",0.43,Existing Dataset,applesauce,"('applesauce',)"
applesauce unsweetened,kg,food,"Applesauce, unsweetened",0.43,combined_food_emissions,applesauce,"('applesauce',)"
applesauce with bananas baby food junior,0.04,food,"applesauce with bananas, baby food, junior",0.43,Existing Dataset,applesauce with banana baby food junior,"('applesauce', 'with', 'banana', 'baby', 'food', 'junior')"
applesauce with bananas baby food junior,kg,food,"Applesauce with bananas, baby food, junior",0.43,combined_food_emissions,applesauce with banana baby food junior,"('applesauce', 'with', 'banana', 'baby', 'food', 'junior')"
applesauce with bananas baby food ns as to strained or junior,0.04,food,"applesauce with bananas, baby food, ns as to strained or junior",0.43,Existing Dataset,applesauce with banana baby food ns as to strained or junior,"('applesauce', 'with', 'banana', 'baby', 'food', 'ns', 'as', 'to', 'strained', 'or', 'junior')"
applesauce with bananas baby food ns as to strained or junior,kg,food,"Applesauce with bananas, baby food, NS as to strained or junior",0.43,combined_food_emissions,applesauce with banana baby food ns as to strained or junior,"('applesauce', 'with', 'banana', 'baby', 'food', 'ns', 'as', 'to', 'strained', 'or', 'junior')"
applesauce with bananas baby food strained,0.04,food,"applesauce with bananas, baby food, strained",0.43,Existing Dataset,applesauce with banana baby food strained,"('applesauce', 'with', 'banana', 'baby', 'food', 'strained')"
applesauce with bananas baby food strained,kg,food,"Applesauce with bananas, baby food, strained",0.43,combined_food_emissions,applesauce with banana baby food strained,"('applesauce', 'with', 'banana', 'baby', 'food', 'strained')"
applesauce with cherries baby food junior,0.046,food,"applesauce with cherries, baby food, junior",0.43,Existing Dataset,applesauce with cherry baby food junior,"('applesauce', 'with', 'cherry', 'baby', 'food', 'junior')"
applesauce with cherries baby food junior,kg,food,"Applesauce with cherries, baby food, junior",0.43,combined_food_emissions,applesauce with cherry baby food junior,"('applesauce', 'with', 'cherry', 'baby', 'food', 'junior')"
applesauce with cherries baby food ns as to strained or junior,0.046,food,"applesauce with cherries, baby food, ns as to strained or junior",0.43,Existing Dataset,applesauce with cherry baby food ns as to strained or junior,"('applesauce', 'with', 'cherry', 'baby', 'food', 'ns', 'as', 'to', 'strained', 'or', 'junior')"
applesauce with cherries baby food ns as to strained or junior,kg,food,"Applesauce with cherries, baby food, NS as to strained or junior",0.43,combined_food_emissions,applesauce with cherry baby food ns as to strained or junior,"('applesauce', 'with', 'cherry', 'baby', 'food', 'ns', 'as', 'to', 'strained', 'or', 'junior')"
applesauce with cherries baby food strained,0.045,food,"applesauce with cherries, baby food, strained",0.43,Existing Dataset,applesauce with cherry baby food strained,"('applesauce', 'with', 'cherry', 'baby', 'food', 'strained')"
applesauce with cherries baby food strained,kg,food,"Applesauce with cherries, baby food, strained",0.43,combined_food_emissions,applesauce with cherry baby food strained,"('applesauce', 'with', 'cherry', 'baby', 'food', 'strained')"
asian chicken or turkey garden salad chicken and or turkey lettuce fruit nuts no dressing,0.104,food,"asian chicken or turkey garden salad, chicken and/or turkey, lettuce, fruit, nuts, no dressing",9.87,Existing Dataset,asian chicken or turkey garden salad chicken and or turkey lettuce fruit nut no dressing,"('asian', 'chicken', 'or', 'turkey', 'garden', 'salad', 'chicken', 'and', 'or', 'turkey', 'lettuce', 'fruit', 'nut', 'no', 'dressing')"
asian chicken or turkey garden salad chicken and or turkey lettuce fruit nuts no dressing,kg,food,"Asian chicken or turkey garden salad, chicken and/or turkey, lettuce, fruit, nuts, no dressing",9.87,combined_food_emissions,asian chicken or turkey garden salad chicken and or turkey lettuce fruit nut no dressing,"('asian', 'chicken', 'or', 'turkey', 'garden', 'salad', 'chicken', 'and', 'or', 'turkey', 'lettuce', 'fruit', 'nut', 'no', 'dressing')"
asian chicken or turkey garden salad with crispy noodles chicken and or turkey lettuce fruit nuts crispy noodles no dressing,0.111,food,"asian chicken or turkey garden salad with crispy noodles, chicken and/or turkey, lettuce, fruit, nuts, crispy noodles, no dressing",9.87,Existing Dataset,asian chicken or turkey garden salad with crispy noodle chicken and or turkey lettuce fruit nut crispy noodle no dressing,"('asian', 'chicken', 'or', 'turkey', 'garden', 'salad', 'with', 'crispy', 'noodle', 'chicken', 'and', 'or', 'turkey', 'lettuce', 'fruit', 'nut', 'crispy', 'noodle', 'no', 'dressing')"
asian chicken or turkey garden salad with crispy noodles chicken and or turkey lettuce fruit nuts crispy noodles no dressing,kg,food,"Asian chicken or turkey garden salad with crispy noodles, chicken and/or turkey, lettuce, fruit, nuts, crispy noodles, no dressing",9.87,combined_food_emissions,asian chicken or turkey garden salad with crispy noodle chicken and or turkey lettuce fruit nut crispy noodle no dressing,"('asian', 'chicken', 'or', 'turkey', 'garden', 'salad', 'with', 'crispy', 'noodle', 'chicken', 'and', 'or', 'turkey', 'lettuce', 'fruit', 'nut', 'crispy', 'noodle', 'no', 'dressing')"
bacon and cheese sandwich with spread,0.075,food,"bacon and cheese sandwich, with spread",23.88,Existing Dataset,bacon and cheese sandwich with spread,"('bacon', 'and', 'cheese', 'sandwich', 'with', 'spread')"
bacon and cheese sandwich with spread,kg,food,"Bacon and cheese sandwich, with spread",23.88,combined_food_emissions,bacon and cheese sandwich with spread,"('bacon', 'and', 'cheese', 'sandwich', 'with', 'spread')"
bacon or side pork fresh cooked,0.105,food,"bacon or side pork, fresh, cooked",12.31,Existing Dataset,bacon or side pork cooked,"('bacon', 'or', 'side', 'pork', 'cooked')"
bacon or side pork fresh cooked,kg,food,"Bacon or side pork, fresh, cooked",12.31,combined_food_emissions,bacon or side pork cooked,"('bacon', 'or', 'side', 'pork', 'cooked')"
banana fried,0.079,food,"banana, fried",0.86,Existing Dataset,banana fried,"('banana', 'fried')"
banana fried,kg,food,"Banana, fried",0.86,combined_food_emissions,banana fried,"('banana', 'fried')"
banana juice with lowfat yogurt baby food,0.03,food,"banana juice with lowfat yogurt, baby food",3.15,Existing Dataset,banana juice with yogurt baby food,"('banana', 'juice', 'with', 'yogurt', 'baby', 'food')"
banana juice with lowfat yogurt baby food,kg,food,"Banana juice with lowfat yogurt, baby food",3.15,combined_food_emissions,banana juice with yogurt baby food,"('banana', 'juice', 'with', 'yogurt', 'baby', 'food')"
banana raw,0.078,food,"banana, raw",0.86,Existing Dataset,banana raw,"('banana', 'raw')"
banana raw,kg,food,"Banana, raw",0.86,combined_food_emissions,banana raw,"('banana', 'raw')"
banana with mixed berries baby food strained,0.094,food,"banana with mixed berries, baby food, strained",1.53,Existing Dataset,banana with mixed berry baby food strained,"('banana', 'with', 'mixed', 'berry', 'baby', 'food', 'strained')"
banana with mixed berries baby food strained,kg,food,"Banana with mixed berries, baby food, strained",1.53,combined_food_emissions,banana with mixed berry baby food strained,"('banana', 'with', 'mixed', 'berry', 'baby', 'food', 'strained')"
banana yogurt dessert baby food strained,0.02,food,"banana yogurt dessert, baby food, strained",3.15,Existing Dataset,banana yogurt dessert baby food strained,"('banana', 'yogurt', 'dessert', 'baby', 'food', 'strained')"
banana yogurt dessert baby food strained,kg,food,"Banana yogurt dessert, baby food, strained",3.15,combined_food_emissions,banana yogurt dessert baby food strained,"('banana', 'yogurt', 'dessert', 'baby', 'food', 'strained')"
bananas and pineapple baby food junior,0.04,food,"bananas and pineapple, baby food, junior",0.86,Existing Dataset,banana and pineapple baby food junior,"('banana', 'and', 'pineapple', 'baby', 'food', 'junior')"
bananas and pineapple baby food junior,kg,food,"Bananas and pineapple, baby food, junior",0.86,combined_food_emissions,banana and pineapple baby food junior,"('banana', 'and', 'pineapple', 'baby', 'food', 'junior')"
bananas and pineapple baby food ns as to strained or junior,0.04,food,"bananas and pineapple, baby food, ns as to strained or junior",0.86,Existing Dataset,banana and pineapple baby food ns as to strained or junior,"('banana', 'and', 'pineapple', 'baby', 'food', 'ns', 'as', 'to', 'strained', 'or', 'junior')"
bananas and pineapple baby food ns as to strained or junior,kg,food,"Bananas and pineapple, baby food, NS as to strained or junior",0.86,combined_food_emissions,banana and pineapple baby food ns as to strained or junior,"('banana', 'and', 'pineapple', 'baby', 'food', 'ns', 'as', 'to', 'strained', 'or', 'junior')"
bananas and pineapple baby food strained,0.039,food,"bananas and pineapple, baby food, strained",0.86,Existing Dataset,banana and pineapple baby food strained,"('banana', 'and', 'pineapple', 'baby', 'food', 'strained')"
bananas and pineapple baby food strained,kg,food,"Bananas and pineapple, baby food, strained",0.86,combined_food_emissions,banana and pineapple baby food strained,"('banana', 'and', 'pineapple', 'baby', 'food', 'strained')"
bananas and strawberry baby food junior,0.087,food,"bananas and strawberry, baby food, junior",0.86,Existing Dataset,banana and strawberry baby food junior,"('banana', 'and', 'strawberry', 'baby', 'food', 'junior')"
bananas and strawberry baby food junior,kg,food,"Bananas and strawberry, baby food, junior",0.86,combined_food_emissions,banana and strawberry baby food junior,"('banana', 'and', 'strawberry', 'baby', 'food', 'junior')"
bananas baby food junior,0.046,food,"bananas, baby food, junior",0.86,Existing Dataset,banana baby food junior,"('banana', 'baby', 'food', 'junior')"
bananas baby food junior,kg,food,"Bananas, baby food, junior",0.86,combined_food_emissions,banana baby food junior,"('banana', 'baby', 'food', 'junior')"
bananas baby food ns as to strained or junior,0.043,food,"bananas, baby food, ns as to strained or junior",0.86,Existing Dataset,banana baby food ns as to strained or junior,"('banana', 'baby', 'food', 'ns', 'as', 'to', 'strained', 'or', 'junior')"
bananas baby food ns as to strained or junior,kg,food,"Bananas, baby food, NS as to strained or junior",0.86,combined_food_emissions,banana baby food ns as to strained or junior,"('banana', 'baby', 'food', 'ns', 'as', 'to', 'strained', 'or', 'junior')"
bananas baby food strained,0.04,food,"bananas, baby food, strained",0.86,Existing Dataset,banana baby food strained,"('banana', 'baby', 'food', 'strained')"
bananas baby food strained,kg,food,"Bananas, baby food, strained",0.86,combined_food_emissions,banana baby food strained,"('banana', 'baby', 'food', 'strained')"
bananas with apples and pears baby food strained,0.08,food,"bananas with apples and pears, baby food, strained",0.43,Existing Dataset,banana with apple and pear baby food strained,"('banana', 'with', 'apple', 'and', 'pear', 'baby', 'food', 'strained')"
bananas with apples and pears baby food strained,kg,food,"Bananas with apples and pears, baby food, strained",0.43,combined_food_emissions,banana with apple and pear baby food strained,"('banana', 'with', 'apple', 'and', 'pear', 'baby', 'food', 'strained')"
bananas with orange baby food strained,0.099,food,"bananas with orange, baby food, strained",0.86,Existing Dataset,banana with orange baby food strained,"('banana', 'with', 'orange', 'baby', 'food', 'strained')"
bananas with orange baby food strained,kg,food,"Bananas with orange, baby food, strained",0.86,combined_food_emissions,banana with orange baby food strained,"('banana', 'with', 'orange', 'baby', 'food', 'strained')"
barley cereal baby food dry instant,0.467,food,"barley cereal, baby food, dry, instant",1.18,Existing Dataset,barley cereal baby food dry instant,"('barley', 'cereal', 'baby', 'food', 'dry', 'instant')"
barley cereal baby food dry instant,kg,food,"Barley cereal, baby food, dry, instant",1.18,combined_food_emissions,barley cereal baby food dry instant,"('barley', 'cereal', 'baby', 'food', 'dry', 'instant')"
barley fat added,0.101,food,"barley, fat added",1.18,Existing Dataset,barley fat added,"('barley', 'fat', 'added')"
barley fat added,kg,food,"Barley, fat added",1.18,combined_food_emissions,barley fat added,"('barley', 'fat', 'added')"
barley no added fat,0.105,food,"barley, no added fat",1.18,Existing Dataset,barley no added fat,"('barley', 'no', 'added', 'fat')"
barley no added fat,kg,food,"Barley, no added fat",1.18,combined_food_emissions,barley no added fat,"('barley', 'no', 'added', 'fat')"
barley ns as to fat,0.105,food,"barley, ns as to fat",1.18,Existing Dataset,barley ns as to fat,"('barley', 'ns', 'as', 'to', 'fat')"
barley ns as to fat,kg,food,"Barley, NS as to fat",1.18,combined_food_emissions,barley ns as to fat,"('barley', 'ns', 'as', 'to', 'fat')"
barley soup home recipe canned or ready to serve,0.058,food,"barley soup, home recipe, canned, or ready-to-serve",1.18,Existing Dataset,barley soup home recipe canned or ready to serve,"('barley', 'soup', 'home', 'recipe', 'canned', 'or', 'ready', 'to', 'serve')"
barley soup home recipe canned or ready to serve,kg,food,"Barley soup, home recipe, canned, or ready-to-serve",1.18,combined_food_emissions,barley soup home recipe canned or ready to serve,"('barley', 'soup', 'home', 'recipe', 'canned', 'or', 'ready', 'to', 'serve')"
barley soup sweet with or without nuts asian style,0.067,food,"barley soup, sweet, with or without nuts, asian style",1.18,Existing Dataset,barley soup sweet with or without nut asian style,"('barley', 'soup', 'sweet', 'with', 'or', 'without', 'nut', 'asian', 'style')"
barley soup sweet with or without nuts asian style,kg,food,"Barley soup, sweet, with or without nuts, Asian Style",1.18,combined_food_emissions,barley soup sweet with or without nut asian style,"('barley', 'soup', 'sweet', 'with', 'or', 'without', 'nut', 'asian', 'style')"
beans,kg,food,beans,1.0,Poore & Nemecek,bean,"('bean',)"
beans and brown rice,0.202,food,beans and brown rice,4.45,Existing Dataset,bean and brown rice,"('bean', 'and', 'brown', 'rice')"
beans and brown rice,kg,food,Beans and brown rice,4.45,combined_food_emissions,bean and brown rice,"('bean', 'and', 'brown', 'rice')"
beans and rice from fast food restaurant,0.182,food,"beans and rice, from fast food / restaurant",4.45,Existing Dataset,bean and rice from fast food restaurant,"('bean', 'and', 'rice', 'from', 'fast', 'food', 'restaurant')"
beans and rice from fast food restaurant,kg,food,"Beans and rice, from fast food / restaurant",4.45,combined_food_emissions,bean and rice from fast food restaurant,"('bean', 'and', 'rice', 'from', 'fast', 'food', 'restaurant')"
beans and rice with meat,0.14,food,"beans and rice, with meat",4.45,Existing Dataset,bean and rice with meat,"('bean', 'and', 'rice', 'with', 'meat')"
beans and rice with meat,kg,food,"Beans and rice, with meat",4.45,combined_food_emissions,bean and rice with meat,"('bean', 'and', 'rice', 'with', 'meat')"
beans and rice with tomatoes,0.131,food,"beans and rice, with tomatoes",4.45,Existing Dataset,bean and rice with tomato,"('bean', 'and', 'rice', 'with', 'tomato')"
beans and rice with tomatoes,kg,food,"Beans and rice, with tomatoes",4.45,combined_food_emissions,bean and rice with tomato,"('bean', 'and', 'rice', 'with', 'tomato')"
beans and tomatoes fat added,0.173,food,"beans and tomatoes, fat added",2.09,Existing Dataset,bean and tomato fat added,"('bean', 'and', 'tomato', 'fat', 'added')"
beans and tomatoes fat added,kg,food,"Beans and tomatoes, fat added",2.09,combined_food_emissions,bean and tomato fat added,"('bean', 'and', 'tomato', 'fat', 'added')"
beans and tomatoes no added fat,0.182,food,"beans and tomatoes, no added fat",2.09,Existing Dataset,bean and tomato no added fat,"('bean', 'and', 'tomato', 'no', 'added', 'fat')"
beans and tomatoes no added fat,kg,food,"Beans and tomatoes, no added fat",2.09,combined_food_emissions,bean and tomato no added fat,"('bean', 'and', 'tomato', 'no', 'added', 'fat')"
beans and white rice,0.188,food,beans and white rice,4.45,Existing Dataset,bean and white rice,"('bean', 'and', 'white', 'rice')"
beans and white rice,kg,food,Beans and white rice,4.45,combined_food_emissions,bean and white rice,"('bean', 'and', 'white', 'rice')"
beef,kg,food,Beef,27.0,footprint,beef,"('beef',)"
beef and broccoli,0.066,food,beef and broccoli,99.48,Existing Dataset,beef and broccoli,"('beef', 'and', 'broccoli')"
beef and broccoli,kg,food,Beef and broccoli,99.48,combined_food_emissions,beef and broccoli,"('beef', 'and', 'broccoli')"
beef and egg noodles baby food junior,0.032,food,"beef and egg noodles, baby food, junior",99.48,Existing Dataset,beef and egg noodle baby food junior,"('beef', 'and', 'egg', 'noodle', 'baby', 'food', 'junior')"
beef and egg noodles baby food junior,kg,food,"Beef and egg noodles, baby food, junior",99.48,combined_food_emissions,beef and egg noodle baby food junior,"('beef', 'and', 'egg', 'noodle', 'baby', 'food', 'junior')"
beef and egg noodles baby food ns as to strained or junior,0.041,food,"beef and egg noodles, baby food, ns as to strained or junior",99.48,Existing Dataset,beef and egg noodle baby food ns as to strained or junior,"('beef', 'and', 'egg', 'noodle', 'baby', 'food', 'ns', 'as', 'to', 'strained', 'or', 'junior')"
beef and egg noodles baby food ns as to strained or junior,kg,food,"Beef and egg noodles, baby food, NS as to strained or junior",99.48,combined_food_emissions,beef and egg noodle baby food ns as to strained or junior,"('beef', 'and', 'egg', 'noodle', 'baby', 'food', 'ns', 'as', 'to', 'strained', 'or', 'junior')"
beef and egg noodles baby food strained,0.05,food,"beef and egg noodles, baby food, strained",99.48,Existing Dataset,beef and egg noodle baby food strained,"('beef', 'and', 'egg', 'noodle', 'baby', 'food', 'strained')"
beef and egg noodles baby food strained,kg,food,"Beef and egg noodles, baby food, strained",99.48,combined_food_emissions,beef and egg noodle baby food strained,"('beef', 'and', 'egg', 'noodle', 'baby', 'food', 'strained')"
beef and macaroni with cheese sauce,0.066,food,beef and macaroni with cheese sauce,99.48,Existing Dataset,beef and macaroni with cheese sauce,"('beef', 'and', 'macaroni', 'with', 'cheese', 'sauce')"
